SKU,attribute:Classification,post_title,post_content,post_excerpt,parent_sku,attribute:Publication_Location,attribute:Publisher,attribute:number_of_pages,attribute:Hebrew_Year_of_Publication,attribute:Year_of_Publish,attribute:Price_Dolar,Price NIS and Vat,attribute:Date_Of_Update_Price,attribute:Publisher_Discount,attribute:isbn,_____,attribute:Author,misc,Name Eng,Price_NIS_No_Vat,Publisher_Code,Publishing_PlaceZip,Autjor_Name_Eng,Dewey_sort,Magazine,Fixed_Price
141168,120,"Ad 120 Plus (1900-2053) (big format, hard cover, Corrected ed. - 2013)","Calendar for 154 years, Hebrew-Christian dates, Weekly Portions, Holidays etc.","Ad 120 Plus (1900-2053) (big format, hard cover, Corrected ed. - 2013)",7261,Jerusalem,Rubin Mass,320,,2013,22,70,13-Nov-12,35,978-965-09-0313-1,,,,,,,,,,FALSE,TRUE
142087,041,Jewish Settlement in Eretz ha-Zvi (English and Hebrew),"Texts and Studies on Late Medieval Jewish History in the Land of Israel; Collected articles, with indexes; Hebrew: 334 pages; English: 82 pages",Jewish Settlement in Eretz ha-Zvi (English and Hebrew),7261,Jerusalem,Rubin Mass,416,,2013,31,94,01-May-13,35,978-965-09-0316-2,,,,,,,,"David,Abraham",,FALSE,FALSE
142088,035,Jewish Settlement in Eretz ha-Zvi (English and Hebrew),"Texts and Studies on Late Medieval Jewish History in the Land of Israel; Collected articles, with indexes; Hebrew: 334 pages; English: 82 pages",Jewish Settlement in Eretz ha-Zvi (English and Hebrew),7261,Jerusalem,Rubin Mass,416,,2013,31,94,01-May-13,35,978-965-09-0316-2,,,,,,,,"David,Abraham",,FALSE,FALSE
142392,115,Mountain - Field - Home: Installations 1995-2013 (English and Hebrew),Avner Bar Hama Multidisciplinary Artist: A Personal Journey into Jewish-Israeli Discourse; With hundreds colour photos; Articles in Hebrew and English (English side: 115 pages; Hebrew side: 237 pages),Mountain - Field - Home: Installations 1995-2013 (English and Hebrew),7261,Jerusalem,Rubin Mass,352,,2013,48,148,30-Jun-13,35,978-965-09-0312-4,,,,,,,,"Pinchas-Cohen,Hava (ed.)",,FALSE,FALSE
146933,035,The Lamed Heh,"Thirty-Five soldiers who fell in the Hebron Hills on their way to the besieged Gush Etzion, 5th Shvat 5708, 16th January 1948; With photos; translated from the Hebrew by Shulamith Berman",The Lamed Heh,7261,Jerusalem,Rubin Mass,303,,2015,25,80,14-Dec-15,35,978-965-09-0332-9,,,,,,,,"Amir Pinkerfeld,Anda (ed.)",,FALSE,FALSE
148205,135,MultiSign,"A special product for hitchhikers, drivers taking hitchhikers, tour guides, bus and taxi services, airport greeting, and more; Available also in an Hebrew edition; See http://rav-shelet.ravpage.co.il/Multisign",MultiSign,7261,Jerusalem,Rubin Mass,42,,2016,19.9,59.9,27-Jun-16,30,978-965-09-0325-1,,,,,,,,,,FALSE,FALSE
150692,110,Where to Go? (English and Hebrew),"Conversations for the study of Hebrew / English; 18 dialogues, Hebrew - English, page next to page; For students in universities and high schools; Suitable for Hebrew speakers to learn English",Where to Go? (English and Hebrew),7261,Jerusalem,Rubin Mass,58,,2017,19,59,09-Nov-17,35,978-965-09-0345-6,,,,,,,,"Covensky,Edith",,FALSE,FALSE
151653,041,The Book of Samuel; Part 1,"Studies in History, Historiography, Theology and Poetics Combined; Part I: The Story and History of David and His Kingdom; With many photos, and a large bibliography; An inter-disciplinary interpretation of David’s story and history",The Book of Samuel; Part 1,7261,Jerusalem,Rubin Mass,576,,2018,45,128,15-May-18,40,978-965-09-0348-0,,,,,,,,"Garsiel,Moshe",,FALSE,FALSE
151654,085,The Book of Samuel; Part 1,"Studies in History, Historiography, Theology and Poetics Combined; Part I: The Story and History of David and His Kingdom; With many photos, and a large bibliography; An inter-disciplinary interpretation of David’s story and history",The Book of Samuel; Part 1,7261,Jerusalem,Rubin Mass,576,,2018,45,128,15-May-18,40,978-965-09-0348-0,,,,,,,,"Garsiel,Moshe",,FALSE,FALSE
155726,132,Bible Versus Archaeology,"Are archaeological discoveries consistent with the Bible? King Menkaure - was he the Pharaoh of the Exodus? Photos, illustrations, maps, tables; notes, index; Translated from the Hebrew by Adam Moshe Levy; rav-shelet.ravpage.co.il/BibleVersusArchaeology",Bible Versus Archaeology,7261,Jerusalem,Rubin Mass,314,,2020,40,128,27-Aug-20,45,978-965-09-0355-8,,,972-5449 (718) ; orders@ktav.com,,,,,"Levy,Daniel Moshe",,FALSE,FALSE
155727,041,Bible Versus Archaeology,"Are archaeological discoveries consistent with the Bible? King Menkaure - was he the Pharaoh of the Exodus? Photos, illustrations, maps, tables; notes, index; Translated from the Hebrew by Adam Moshe Levy; rav-shelet.ravpage.co.il/BibleVersusArchaeology",Bible Versus Archaeology,7261,Jerusalem,Rubin Mass,314,,2020,40,128,27-Aug-20,45,978-965-09-0355-8,,,972-5449 (718) ; orders@ktav.com,,,,,"Levy,Daniel Moshe",,FALSE,FALSE
155728,085,Bible Versus Archaeology,"Are archaeological discoveries consistent with the Bible? King Menkaure - was he the Pharaoh of the Exodus? Photos, illustrations, maps, tables; notes, index; Translated from the Hebrew by Adam Moshe Levy; rav-shelet.ravpage.co.il/BibleVersusArchaeology",Bible Versus Archaeology,7261,Jerusalem,Rubin Mass,314,,2020,40,128,27-Aug-20,45,978-965-09-0355-8,,,972-5449 (718) ; orders@ktav.com,,,,,"Levy,Daniel Moshe",,FALSE,FALSE
155815,115,Maalot Hashir (Bi-lingual edition: English - Hebrew),"An anthology of 71 melodies for ""Shir Hamaalot (Psalms 126), as Ashkenaz and Frankfurt on the Main custom, with a barcode for listening, Notes, Forms, and Harmony",Maalot Hashir (Bi-lingual edition: English - Hebrew),7261,Jerusalem,Rubin Mass,224,,2020,30,88,03-Sep-20,40,978-965-09-0357-2,,,972-5449 (718) ; orders@ktav.com,,,,,"Aharon,Uri (Uriel)",,FALSE,FALSE
155816,080,Maalot Hashir (Bi-lingual edition: English - Hebrew),"An anthology of 71 melodies for ""Shir Hamaalot (Psalms 126), as Ashkenaz and Frankfurt on the Main custom, with a barcode for listening, Notes, Forms, and Harmony",Maalot Hashir (Bi-lingual edition: English - Hebrew),7261,Jerusalem,Rubin Mass,224,,2020,30,88,03-Sep-20,40,978-965-09-0357-2,,,972-5449 (718) ; orders@ktav.com,,,,,"Aharon,Uri (Uriel)",,FALSE,FALSE
156030,120,Dictionary of Hebrew Nouns,"14,000 Hebrew Nouns and Adjectives Classified into 998 Patterns, with Grammatical Information; The author is a Prof. Emeritus in University of Massachusetts Amherst; With indices; Details: rav-shelet.ravpage.co.il/DictionaryofHebrewNouns",Dictionary of Hebrew Nouns,7261,Jerusalem,Rubin Mass,828,,2020,60,192,21-Sep-20,40,978-965-09-0360-2,,,,,,,,"Bolozky,Shmuel",,FALSE,FALSE
156031,010,Dictionary of Hebrew Nouns,"14,000 Hebrew Nouns and Adjectives Classified into 998 Patterns, with Grammatical Information; The author is a Prof. Emeritus in University of Massachusetts Amherst; With indices; Details: rav-shelet.ravpage.co.il/DictionaryofHebrewNouns",Dictionary of Hebrew Nouns,7261,Jerusalem,Rubin Mass,828,,2020,60,192,21-Sep-20,40,978-965-09-0360-2,,,,,,,,"Bolozky,Shmuel",,FALSE,FALSE
157171,132,Bible in Face of Archaeology (3rd edition of Bible Versus Archaeology),"Are archaeological discoveries consistent with the Bible? King Menkaure - was he the Pharaoh of the Exodus? Photos, illustrations, maps, tables; notes, index; Translated from the Hebrew by Adam Moshe Levy; A corrected edition with additions",Bible in Face of Archaeology (3rd edition of Bible Versus Archaeology),7261,Jerusalem,Rubin Mass,314,,2021,50,128,22-Mar-21,40,978-965-09-0366-4,,,972-5449 (718) ; orders@ktav.com,,,,,"Levy,Daniel Moshe",,FALSE,FALSE
157172,085,Bible in Face of Archaeology (3rd edition of Bible Versus Archaeology),"Are archaeological discoveries consistent with the Bible? King Menkaure - was he the Pharaoh of the Exodus? Photos, illustrations, maps, tables; notes, index; Translated from the Hebrew by Adam Moshe Levy; A corrected edition with additions",Bible in Face of Archaeology (3rd edition of Bible Versus Archaeology),7261,Jerusalem,Rubin Mass,314,,2021,50,128,22-Mar-21,40,978-965-09-0366-4,,,972-5449 (718) ; orders@ktav.com,,,,,"Levy,Daniel Moshe",,FALSE,FALSE
157173,041,Bible in Face of Archaeology (3rd edition of Bible Versus Archaeology),"Are archaeological discoveries consistent with the Bible? King Menkaure - was he the Pharaoh of the Exodus? Photos, illustrations, maps, tables; notes, index; Translated from the Hebrew by Adam Moshe Levy; A corrected edition with additions",Bible in Face of Archaeology (3rd edition of Bible Versus Archaeology),7261,Jerusalem,Rubin Mass,314,,2021,50,128,22-Mar-21,40,978-965-09-0366-4,,,972-5449 (718) ; orders@ktav.com,,,,,"Levy,Daniel Moshe",,FALSE,FALSE
159351,048,Striking Kosher Gold,How to do business with Orthodox Jews; A basic knowledge and know-how for establishing productive business interactions with Orthodox Jews around the globe; With color photos,Striking Kosher Gold,7261,Jerusalem,Rubin Mass,176,,2022,25,75,23-Jan-22,40,978-965-09-0377-0,,,,,,,,"Nachshon,Ofer; Gurwitz,Yaakov (Rabbi)",,FALSE,FALSE
159352,080,Striking Kosher Gold,How to do business with Orthodox Jews; A basic knowledge and know-how for establishing productive business interactions with Orthodox Jews around the globe; With color photos,Striking Kosher Gold,7261,Jerusalem,Rubin Mass,176,,2022,25,75,23-Jan-22,40,978-965-09-0377-0,,,,,,,,"Nachshon,Ofer; Gurwitz,Yaakov (Rabbi)",,FALSE,FALSE
160094,120,Dictionary of Hebrew Nouns (2nd corrected edition with hyperlinks),"14,000 Hebrew Nouns and Adjectives Classified into 998 Patterns, Available at Amazon Kindle, And as a PDF file by email to rmass@barak.net.il; With hyperlinked indices; Details: rav-shelet.ravpage.co.il/DictionaryofHebrewNouns",Dictionary of Hebrew Nouns (2nd corrected edition with hyperlinks),7261,Jerusalem,Rubin Mass,826,,2022,40,120,16-Jun-22,40,978-965-09-0361-9,,,,,,,,"Bolozky,Shmuel",,FALSE,FALSE
160095,010,Dictionary of Hebrew Nouns (2nd corrected edition with hyperlinks),"14,000 Hebrew Nouns and Adjectives Classified into 998 Patterns, Available at Amazon Kindle, And as a PDF file by email to rmass@barak.net.il; With hyperlinked indices; Details: rav-shelet.ravpage.co.il/DictionaryofHebrewNouns",Dictionary of Hebrew Nouns (2nd corrected edition with hyperlinks),7261,Jerusalem,Rubin Mass,826,,2022,40,120,16-Jun-22,40,978-965-09-0361-9,,,,,,,,"Bolozky,Shmuel",,FALSE,FALSE
66800,131,Kalman J.Mann:Reflections on a life in Health Care,,Kalman J.Mann:Reflections on a life in Health Care,7261,Jerusalem,Rubin Mass,334,,1994,32,80,08-Nov-94,0,965-09-0126-4,,"Mann,Kalman",price incl.S.M.,,,,,,,FALSE,TRUE
67739,110,"Arabic Language and Grammar,vols. 1-4",Arabic language and grammar,"Arabic Language and Grammar,vols. 1-4",7261,,Rubin Mass,,,,76,272,19-Feb-97,0,965-09-0124-8,,"Kapliwatzky,Jochanan",,,,,,"Kapliwatzky,Jochanan",,FALSE,TRUE
69307,120,Halachic Times for Home and Travel,World-wide times-of-day tables with Halachic&Scientific foundations,Halachic Times,7261,Jerusalem,Rubin Mass,350,,1992,15,38,28-Jun-92,35,,,"Levi,Leo",,,,,,"Levi,L.",,FALSE,FALSE
73527,085,Song of Songs:Nature Epic & Allegory,,Song of Songs:Nature Epic & Allegory,7261,Jerusalem,Rubin Mass,,,,28,70,24-Feb-98,,965-09-0119-1,,,,,,,,"Feliks,Yehuda",,FALSE,TRUE
73802,032,La Resistance Juive en Algerie, 1940-42:(855),La Resistance Juive en Algerie 1940-42,7261,Jerusalem,Rubin Mass,240,,1987,34,84,24-Feb-93,0,,,"Amipaz-Silber,G.",,,,,,,,FALSE,TRUE
73803,120,"Hebrew-Russian,Russian-Hebrew Dictionary","with transcription,3 ed. (855a)","Hebrew-Russian,Russian-Hebrew Dictionary",7261,Jerusalem,Rubin Mass,392,,1990,28,70,24-Feb-93,0,,,"Amir,Y.",,,,,,"Amir,Y.",,FALSE,TRUE
73804,035,The Government of Palestine,(856),The Government of Palestine,7261,Jerusalem,Rubin Mass,44,,1945,14,36,30-Apr-96,0,,,"Ankorion,A. (Dr.)",,,,,,,,FALSE,TRUE
73806,110,L'Hebreu pour tout le monde,(857),L'Hebreu pour tout le monde,7261,Jerusalem,Rubin Mass,,,,19,48,24-Feb-93,0,,,"Barkali,S. (Dr.)",,,,,,,,FALSE,TRUE
73807,110,Hebrew for Everybody:(English),(858),Hebrew for Everybody (English),7261,Jerusalem,Rubin Mass,,,,19,48,04-Mar-93,0,,,"Barkali,S. (Dr.)",,,,,,,,FALSE,TRUE
73808,110,Hebraisch fur jedermann:(Deutsch),(859),Hebraisch fur jedermann (Deutsch),7261,Jerusalem,Rubin Mass,,,,19,48,04-Mar-93,0,965-09-0190-6,,"Barkali,S. (Dr.)",,,,,,,,FALSE,TRUE
73810,035,Jesus The Jew-The Historical Jesus,The true story of jesus,Jesus The Jew-The Historical Jesus,7261,Jerusalem,Rubin Mass,129,,1976,19,48,24-Feb-93,0,,,"Bazes,M.",___ 100,,,,,"Bazes,Moshe",,FALSE,TRUE
73811,035,Destruction & Renewal; the Synagogues of the Jewish Quarter,In Jerusalem (862),Destruction & Renewal; the Synagogues of the Jewish Quarter,7261,Jerusalem,Rubin Mass,64,,1973,18,44,24-Feb-93,0,965-09-0111-6,,"Ben-Eliezer,Shimon",,,,,,,,FALSE,TRUE
73812,031,La signification de la declaration Bevin,,La signification de la declaration Bevin,7261,Jerusalem,Rubin Mass,46,,1946,11,28,24-Feb-93,0,,,"Ben Gurion,Daviv",___ 99,,,,,"BEN-GURYON,DAVID",,FALSE,TRUE
73815,060,Herbert Bentwich-the Pilgrim Father,,Herbert Bentwich-the Pilgrim Father,7261,Jerusalem,Rubin Mass,232,,1940,28,70,24-Feb-93,0,,,"Bentwich,Margery & Norman",___ 100,,,,,Bentwich Margret And Norman,,FALSE,TRUE
73816,045,The Law of the State of Israel,"An Introduction, second edition with indices (866a)",The Law of the State of Israel,7261,Jerusalem,Rubin Mass,226,,1992,50,124,24-Feb-93,0,965-09-0112-4,,"Bin-Nun,Ariel",___ 91,,,,,"Bin-Nun,Ariel",,FALSE,TRUE
73817,115,Faces of Israel,"Twelve Drawings,Album;second edition (Introduction-D.A.Friedman) (867)",Faces of Israel,7261,Jerusalem,Rubin Mass,,,,22,54,25-Feb-93,0,,,"Blumenthal,Ruth",,,,,,,,FALSE,TRUE
73818,031,Two Letters to Gandhi,,Two Letters to Gandhi,7261,Jerusalem,Rubin Mass,44,,1939,13,32,25-Feb-93,0,965-09-0180-9,,"Buber,M.& Magnes,J.M.",,,,,,,,FALSE,TRUE
73819,045,Husband & Wife in Israeli Law,,Husband & Wife in Israeli Law,7261,Jerusalem,Rubin Mass,296,,1985,44,110,25-Feb-93,0,965-09-0113-2,,"Chieger,M. (Rabbi Dr.)",,,,,,,,FALSE,TRUE
73820,085,Rambam on the Torah,,Rambam on the Torah,7261,Jerusalem,Rubin Mass,200,,1985,30,76,25-Feb-93,0,965-09-0114-0,,"Cohen,P.",,,,,,,,FALSE,TRUE
73821,030,Studies in the History of the Jews of Morocco,Introduction by Prof. E.Asthor (870),Studies in the History of the Jews of Morocco,7261,Jerualem,Rubin Mass,288,,1976,35,88,25-Feb-93,0,,,"Corcos,David",,,,,,,,FALSE,TRUE
73822,001,Saga of a Siege:(soft cover),A Medical Historical Novel of Jerusalem 1948 (871),Saga of a Siege (soft cover),7261,Jerusalem,Rubin Mass,278,,1981,19,48,25-Feb-93,0,965-09-0179-5,,"Davis,Eli (Prof.)",,,,,,,,FALSE,TRUE
73823,001,Saga of a Siege:(hard cover),A Medical Historical Novel of Jerusalem 1948 (871),Saga of a Siege:(hard cover),7261,Jerusalem,Rubin Mass,278,,1981,22,54,25-Feb-93,0,,,"Davis,Eli (Prof.)",,,,,,,,FALSE,TRUE
73825,001,The Quack,"A Tale of Diabetics,Rheumatics,Olives;Medical Novel (872)",The Quack,7261,Jerusalem,Rubin Mass,344,,1986,22,54,25-Feb-93,0,965-09-0115-9,,"Davis,Eli (Prof.)",,,,,,,,FALSE,TRUE
73826,001,Who Health all thy Diseases,novel (873),Who Health all thy Diseases,7261,Jerusalem,Rubin Mass,351,,1975,22,54,25-Feb-93,0,965-09-0116-7,,"Davis,Eli (Prof.)",,,,,,,,FALSE,TRUE
73827,115,Jewish Folk Art Over the Ages,"154 Ill.,22 in colour (874)",Jewish Folk Art Over the Ages,7261,Jerusalem,Rubin Mass,72,,1977,32,80,25-Feb-93,0,965-09-0017-9,,"Davis,Eli & Elise",___ 102,,,,,Davis Eli and Elise,,FALSE,TRUE
73828,043,The Star of David:(soft cover), (876),The Star of David (soft cover),7261,Jerusalem,Rubin Mass,144,,1987,25,60,25-Feb-93,0,965-09-0181-7,,"Eder,A.",,,,,,,,FALSE,TRUE
73829,043,The Star of David:(hard cover),An ancient symbol of integration,The Star of David (hard cover),7261,Jerusalem,Rubin Mass,144,,1987,28,70,25-Feb-93,0,965-09-0117-5,,"Eder,A.",___ 101,,,,,"Eder,Asher",,FALSE,TRUE
73830,035,Meine gaste Tiberias und ich,Memoiren von lotte eisenberg,Meine gaste Tiberias und ich,7261,Jerusalem,Rubin Mass,152,,1979,26,66,25-Feb-93,0,,,"Eisenberg,Lotte",___ 97,,,,,"Eisebnerf,Lotte",,FALSE,TRUE
73831,120,New Medical Dictionary,"A-Z,foreign languages-Hebrew/Hebrew-foreign languages (878)",New Medical Dictionary,7261,Tel Aviv,Rubin Mass,1070,,1967,78,195,30-Aug-05,30,,,"Even-Odem,J.(Dr.)&Rotem,Yaacov",___ 85,,,,,"Even-Odem,J.(Dr.)&Rotem,Yaacov",,FALSE,TRUE
73833,035,Palestine Before the World's Forum,,Palestine Before the World's Forum,7261,Jerusalem,Rubin Mass,,,,13,32,03-Mar-93,0,,,"Freund,Ismar (Dr.)",,,,,,,,FALSE,TRUE
73834,085,The First Book of Samuel,"A Literary Study of Comparative Structures,Analogies&Parallels (880a)",The First Book of Samuel,7261,Jerusalem,Rubin Mass,170,,1990,32,80,24-Feb-93,0,965-09-0118-3,,"Garsiel,M. (Prof.)",,,,,,"Garsiel,M. (Prof.)",,FALSE,TRUE
73836,032,Youth in Chains,,Youth in Chains,7261,Jerusalem,Rubin Mass,262,,1981,19,48,03-Mar-93,0,965-09-0182-5,,"Geve,Thomas",,,,,,,,FALSE,TRUE
73837,046,Glaube und Unglaube,Schriften zum Atheismus-Problem (883),Glaube und Unglaube,7261,Jerusalem,Rubin Mass,120,,1964,21,52,03-Mar-93,0,,,"Goldstein,Walter B.",___ 99,,,,,"Goldstein, Wlter Benjamin",,FALSE,TRUE
73838,046,Herman Cohen und die Zukunft Israels,mit Einleitung von M.Buber (884),Herman Cohen und die Zukunft Israels,7261,Jerusalem,Rubin Mass,112,,1963,21,52,04-Mar-93,0,,,"Goldstein,Walter B.",,,,,,,,FALSE,TRUE
73839,046,Jisrael und sein Gott,,Jisrael und sein Gott,7261,Jerusalem,Rubin Mass,88,,1966,21,52,04-Mar-93,0,,,"Goldstein,Walter B.",,,,,,,,FALSE,TRUE
73840,046,Martin Buber,Gesprache Briefe Worth,Martin Buber,7261,Jerusalem,Rubin Mass,222,,1967,21,52,04-Mar-93,0,,,"Goldstein,Walter B.",___ 101,,,,,Goldstein Walter,,FALSE,TRUE
73841,046,Der Glaube Martin Bubers,,Der Glaube Martin Bubers,7261,Jerusalem,Rubin Mass,188,,1969,21,52,04-Mar-93,0,,,"Goldstein,Walter B.",,,,,,,,FALSE,TRUE
73842,030,Tausend Jahre Europa und die Juden,,Tausend Jahre Europa und die Juden,7261,Jerusalem,Rubin Mass,,,,35,88,04-Mar-93,0,965-09-0188-4,,"Goldstein,Walter B.",,,,,,,,FALSE,TRUE
73843,035,Die 37.Belagerung von Jerusalem,ein Tagebuch aus dem Frujahr 1948 (889),Die 37.Belagerung von Jerusalem,7261,Jerusalem,Rubin Mass,192,,1985,21,52,03-Mar-93,0,,,Gottgetreu,___ 87,,,,,"Gottgetreu,Erich",,FALSE,TRUE
73844,090,Urkundenwesen im Talmud,,Urkundenwesen im Talmud,7261,Jerusalem,Rubin Mass,162,,1935,22,54,03-Mar-93,0,,,"Gulak,A.",,,,,,,,FALSE,TRUE
73848,031,Mein Weg nach Jerusalem,,Mein Weg nach Jerusalem,7261,Jerusalem,Rubin Mass,,,,26,66,03-Mar-93,0,,,"Herlitz,George J. (Dr.)",,,,,,,,FALSE,TRUE
73850,042,A Private Foundation Working in Israel,The Doron Foundation for Educational&Welfare (895a),A Private Foundation Working in Israel,7261,Jerusalem,Rubin Mass,326,,1988,44,110,03-Mar-93,0,965-09-0184-1,,"Jaffe,E.D. (Prof.)",,,,,,,,FALSE,TRUE
73851,031,Erinnerungen eines Zionisten,,Erinnerungen eines Zionisten,7261,Jerusalem,Rubin Mass,94,,1959,15,38,03-Mar-93,0,,,"Jungman,Max",___ 100,,,,,"Jongmann,Max",,FALSE,TRUE
73852,032,Au Lendemain de la Shoa,"nage sur la renaissance du Judaisme de France et d'Afrique du Nord,",Au Lendemain de la Shoa,7261,Jerusalem,Rubin Mass,128,,1991,34,84,04-Mar-93,0,,,"Kapel,Samuel R.",,,,,,,,FALSE,TRUE
73853,110,Arabic Language & Grammar-I,Arabic language and grammar,Arabic Language & Grammar:Part I,7261,Jerusalem,Rubin Mass,196,,1993,19,68,26-Mar-96,0,965-09-0120-5,,"Kapliwatzky,J. (Dr.)",___ 82,,,,,"Kapliwatzky,Yochanan",,FALSE,TRUE
73854,110,Arabic Language & Grammar-II,Language and grammar,Arabic Language & Grammar: Part II,7261,Jerusalem,Rubin Mass,151,,1975,19,68,26-Mar-96,0,965-09-0121-3,,"Kapliwatzky,J. (Dr.)",___ 82,,,,,"Kapliwatzky,Jochanan",,FALSE,TRUE
73855,110,Arabic Language & Grammar-III,Language and grammar,Arabic Language & Grammar: Part III,7261,Jerusalem,Rubin Mass,207,,1976,19,68,26-Mar-96,0,965-09-0122-1,,"Kapliwatzky,J. (Dr.)",___ 82,,,,,"Kapliwatzky,Jochanan",,FALSE,TRUE
73856,110,Arabic Language & Grammar-IV,Language and grammar,Arabic Language & Grammar: Part IV,7261,Jerusalem,Rubin Mass,224,,1976,19,68,26-Mar-96,0,965-09-0123-X,,"Kapliwatzky,J. (Dr.)",___ 85,,,,,"Kapliwatzky,Jochanan",,FALSE,TRUE
73858,110,Selections from the Arabic Press-I,(902),Selections from the Arabic Press:I,7261,Jerusalem,Rubin Mass,68,,1961,11,28,04-Mar-93,0,,,"Kapliwatzky,J. (Dr.)",___ 98,,,,,Kapliwatzky Jochanan,,FALSE,TRUE
73859,110,Selections from the Arabic Press-II,(903),Selections from the Arabic Press:II,7261,Jerusalem,Rubin Mass,68,,1961,11,28,04-Mar-93,0,,,"Kapliwatzky,J. (Dr.)",___ 98,,,,,Kapliwatzky Jochanan,,FALSE,TRUE
