id,tax:product_cat,post_title,post_content,post_excerpt,Parent_ID,attribute:placeofpublisher,attribute:nameofpublisher,attribute:numofpages,attribute:yearofpublishheb,attribute:yearofpublish,Price$,regular_price,dateupdateprice,priceofsale,attribute:ISBN,Status,attribute:author,Misc,NameatENG,PriceNisNoVat,PublisherCode,CodeOfPublish,WriterEngName,NA,Newsletter,PricePermenrant 
106301,095,"זמנים כהלכה, לבית ולנוסע; מהד' שלישית מורחבת (עברית ואנגלית)","לוחות זמני היום (עלות השחר, זמן קריאת-שמע, חצות היום, צאת הכוכבים, הדלקת נרות שבת, מוצאי-שבת, ועוד) לכל העולם, עם בירורי הלכתי ומדעי ולוח תמידי; הוספות של ערים, לוחות, סדר-דפוס חדש ותיקונים","Zemanim Ka-halakha, La-bayit Ve-lanose'a, 3rd edition",7261,ירושלים,ראובן מס,368,,2000,33,82,15-Jun-00,35,965-09-0108-6,,"לוי,יהודה",,,,,,"Levi,Yehuda",,FALSE,TRUE
106345,005,שירי מלמד,"שירים ברוח יהודית, בנושאי השירה העברית, ארץ-ישראל, מדינת ישראל, השואה ועוד",Shirei melamed,7261,ירושלים,ראובן מס,32,,2000,18,44,20-Jun-00,35,965-09-0109-4,,"מלמד (לרנר),ישראל (הרב)",מדף 94,,,,,"Melamed (Lerner),Israel",,FALSE,TRUE
107117,041,בעד עמנו וארצנו,"דברי הגות בנושאי חינוך, ציונות ושואה; בליווי תמונות ומבוא אנגלי; המחבר פירסם חלק ניכר ממאמריו בעיתון ""הדואר"", והינו מחנך דגול בארה""ב",Be-ad Amenu Ve-artsenu,7261,ירושלים,ראובן מס,560,,2000,32,80,12-Oct-00,35,965-09-0137-X,,"אביטל,משה",,,,,,"Avital,Moshe",,FALSE,TRUE
107118,010,משלי-עם ומקביליהם,"פתגמים ומשלים עממיים של יהודי ספרד וצפון-אפריקה, ומקביליהם במקורות היהודיים וחכמי העולם; כולל המקור בערבית ובתעתיק לעברית, ובתרגום לעברית ולצרפתית",Meshalei-Am U-makbileihem,7261,ירושלים,ראובן מס,136,,2000,24,60,12-Oct-00,35,965-09-0138-8,,"סבג,שמעון",,,,,,"Sabag,Shimon",,FALSE,TRUE
107316,001,אחלה שוק,"פתגמים ירושלמיים עסיסיים, משלים עם מוסר השכל, חכמת הרחוב וניחוחות השוק; פתגמים בערבית הרווחים בשוק, תמונות",Ahla Shuk,7261,ירושלים,ראובן מס,81,,2000,11,28,27-Nov-00,35,965-09-0140-X,,"צליח,אריה",מדף 94,,,,,"Tsaliah,Arie",,FALSE,TRUE
107327,120,לוח הפעלים השלם (הדפסה 51),"לוחות לנטיית הפעלים, על כל גזרותיהם, בניינינהם וצורותיהם, מתקופת התנ""ך ועד ימינו; הדפסה חדשה",Luah Ha-pealim Ha-shalem (51st printing),7261,ירושלים,ראובן מס,96,,2000,22,48,27-Nov-00,35,965-09-0142-6,,"ברקלי,שאול",מדף 155,,,,,"Barkali,Shaul",,FALSE,TRUE
107328,120,"מילון פעלים רב-לשוני מאוייר, ב-6 שפות","195 פעלים מלווים ב- 195 ציורים, שחור-לבן וצבע, ולהם כיתוב בשש שפות: עברית, אנגלית, צרפתית, רוסית, ספרדית, גרמנית; סיפר לימוד ותענוג יחד","Milon Pealim Rav-Leshoni Me'uyar, 6 Languages",7261,ירושלים,ראובן מס,160,,2000,30,74,27-Nov-00,35,965-09-0107-8,,"למלמן,יורם; רייטבלט,קרינה",booksellers 30-40%; 500+ copies: 60%,,,,,"Lemelman,Y.;Reytblat,Carina",,FALSE,TRUE
107395,041,פיוטי יניי -ביאורים ופירושים,"עם הצעות מנומקות לתיקונים והשלמות; מחקר המתבסס על מהדורתו של צבי מאיר רבינוביץ, ומתקן ומשלים אותו, כוללקרובות לחומשים, למועדים ולשבתות מיוחדות; נספחים, מפתחות והקדמה באנגלית",Piutei Yanay - Be'urim U-ferushim,7261,ירושלים,ראובן מס,486,,2000,35,88,12-Dec-00,35,965-09-0144-2,,"ברונזניק,נחום מאיר",,,,,,"Bronsnik,Nahum Meir",,FALSE,TRUE
107396,086,בין הפטרה לפרשה,"על הקשרים בין ההפטרות לפרשות השבוע ולמועדי השנה; בחינת הדגשי חז""ל מבחינה חינוכית, מדוע בחרו דווקא בהפטרה זו ולא אחרת",Bein Haftara Le-parasha,7261,ירושלים,ראובן מס,246,"תשס""א",2000,28,75,12-Dec-00,35,965-09-0143-4,,"שביב,יהודה (הרב)",,,,,,"Shaviv,Yehuda",,FALSE,TRUE
107397,010,עגנון המכוסה מן העין,"פענוח הסיפורים ""עגונות"", ""בגעת החול"", ""האדונית והרוכל""; גילויים של סאטירה על הציונות ההרצליאנית, של אנטיתזה אליגורית ל""שיר השירים"" ועוד גילויים; בליווי טבלאות השוואה ותקציר באנגלית",Agnon ha-mekhuse min ha-ayin,7261,ירושלים,ראובן מס,152,"תשס""א",2000,24,60,12-Dec-00,35,965-09-0139-6,,"שטרן,דינה",מדף 91,,,,,"Shtern,Dina",,FALSE,TRUE
107884,035,"אתרים קדושים בארץ ישראל, מהד' חדשה","ציונים, אתרים מפורסמים, בתי-כנסת; הדפסה חדשה (למהד' 1986), עם תמונות חדשות וכריכה קלה צבעונית",Atarim Kedoshim Be-Erets Israel (new edition),7261,ירושלים,ראובן מס,270,"תשס""א",2000,24,60,30-Jan-01,30,,,"וייס,שרגא","הוצאת אריאל, אלי שילר",,,,,"Weis,Shraga",,FALSE,TRUE
107921,110,שיפור מיומנויות בהבנת הנקרא,"חומר עזר לגילאי 18-15, וללומד המבוגר; עיון ודיון בקטעים אקטואליים בנושאי חינוך לערכים, חופש הביטוי, תקשורת ודמוקרטיה, גיוס לצה""ל ועוד ועוד, כולל מבחנים בסוף כל קטע",Shipur Meyumanuyot Be-havanat Ha-nikra,7261,ירושלים,ראובן מס,86,"תשס""א",2001,16,40,11-Feb-01,35,965-09-0147-7,,"קרניאל,מרדכי",מדף 156,,,,,"Karniel,Mordekhai",,FALSE,TRUE
108044,090,"תלמוד ירושלמי, מסכת שביעית, חלק א' (פרקים א-ה); מהד' שנייה מתוקנת","הטקסט על-פי כ""י ליידן עם שינויי נוסחאות מכתבי-יד, קטעי גניזה ודפוס ונציה; בלווית 78 תמונות צמחים, 37 ציורים ו-11 טבלאות; תיקוני שיבושים רבים לעומת המהדורה הראשונה","Talmud Yerushalmi, Masekhet Sheviit, part 1 (2nd edition)",7261,ירושלים,ראובן מס,416,,2000,48,120,19-Feb-01,35,,,"פליקס,יהודה (פרופ')",,,,,,"Felix,Yehuda (Prof.)",,FALSE,TRUE
108375,120,לקסיקון הכנויים בלשון הפייטנים,"עשרים אלף כנויי-קודש ממשוררי ימי-הביניים, מבוארים וערוכים בסדר אלפביתי, בליווי ציוני מקורותיהם; מבוא מפורט, ביבליוגרפיה, מקורות, מבוא מקוצר באנגלית",Lexikon Ha-kinuyim Bi-leshon Ha-Paitanim (Lex. Of Epithets…),7261,ירושלים,ראובן מס,320,,2001,33,82,25-Mar-01,35,965-09-0146-9,,"דוד,יונה",,,,,,"David,Yona",,FALSE,TRUE
108376,080,המדע שבתורה,"התייחסותם של חז""ל, בעיקר בספרות התלמודית, לענייני מדע, ובדיקת התאמתם למדע של ימינו וההשלכות ההלכתיות מהם",Ha-mada She-ba-Tora (The Science in the Torah),7261,ירושלים,ראובן מס - מכון לב,128,,2001,22,55,25-Mar-01,35,965-09-0148-5,,"לוי,יהודה (פרופ')",,,,,,"Levi,Yehuda",,FALSE,TRUE
108709,080,מקורות הרב,"מפתחות וביבליוגרפיה לתורת הרב יוסף דוב סולובייצ'יק, לפי נושאים ומקורות; כולל שיעורים שבעל-פה, מאמרים על הרב בעברית ובאנגלית, אתרים באינטרנט ועוד; תרשימים להבנת תורתו באנגלית ובעברית, הקדמה באנגלית",Mekorot Ha-Rav,7261,ירושלים,ראובן מס,224,,2001,26,66,31-May-01,35,965-09-0149-3,,"טורקל,אלי וחיים",,,,,,"Turkel,Eli and Hayim",,FALSE,TRUE
109145,060,מדוע יהודי?,"דרכו של גר אל היהדות המתחילה בביקור במחנה אושוויץ; יומן חוויות ורגשות ונסיון למענה על שאלות פילוסופיות בסגנון ""מדוע לא יבער הסנה""; ספר מרתק",Madua Yehudi?,7261,ירושלים,ראובן מס,240,,2001,20,50,27-Aug-01,35,965-09-0151-5,,"רוזן,יוסף",מדף 159,,,,,"Rosen,Yosef",,FALSE,TRUE
109813,010,דיואן צרור המור (מהד' שניה מורחבת ומתוקנת),,Diwan Tseror Ha-mor (2nd edition),7261,ירושלים,ראובן מס,305,,2001,23,58,26-Nov-01,35,965-09-154-X,,"קיסר,צמח",המחבר 08-9413229,,,,,"Keisar,Tsemah",,FALSE,TRUE
111137,043,תמיהה ומבוכה,,Temiha U-mevukha,7261,ירושלים,ראובן מס,128,,2002,16,40,06-Mar-02,35,965-09-156-6,,"רבינוביץ,הרב אברהם צבי הלוי",,,,,,"Rabinovits,R' Avraham Zvi Ha-levi",,FALSE,TRUE
111606,041,אשכולות תמר,מחקרים ועיונים בתולדות צפת וחכמיה וגדולי ישראל  בדורות האחרונים,Eshkolot Tamar,7261,ירושלים,ראובן מס,387,,2002,29,72,16-May-02,35,965-09-159-0,,"תמר,דוד",,,,,,"Tamat,David",,FALSE,TRUE
111826,001,בהתהפך הגלגל,"שני סיפורים, הראשון מימי העליית הנאצים לשלטון והשני מימי קריסת הכיבוש הגרמני בפולין",Be-hithapekh ha-galgal,7261,ירושלים,ראובן מס,104,,2002,20,50,06-Jun-02,35,965-09-0157-4,,"קרויטנר,ש""י",מדף 87,,,,,"Kroitner,S.Y.",,FALSE,TRUE
111879,151,זמנים כהלכה - לבית ולנוסע; מהדורת תקליטור (CD),,"Zemanim Ka-halakha -La-bayit Ve-la-nose'a, CD edition",7261,ירושלים,ראובן מס,,,2002,33,75,11-Jun-02,35,,,"לוי,יהודה",יעקב קמחי 050-365130,,,,,"Levi,Yehuda",,FALSE,TRUE
111880,151,מילון רפואי חדש; מהדורת תקליטור (CD),,Milon Refu'I Hadash; New Medical Dictionary; CD edition,7261,ירושלים,ראובן מס,,,2002,48,120,11-Jun-02,35,,,"אבן-אודם,יוסף; רותם,יעקב",יעקב קמחי 050-365130 מדף 84,,,,,"Even-Odem,Y.&Rotem,Y.",,FALSE,TRUE
113550,131,מדריך בסיסי לגנטיקה והשבחת צמחים - מנורת הפלפל,"מנורת הפלפל;העמקת ההיכרות עם הפלפל מבחינה ביולוגית וגנטית, על האפשרויות הטמונות בזן זה, כולל שיטות להשבחת העבודה והאפשרויות עם הפלפל",Madrikh Besisi Le-genetika Ve-hashbahat Tsemahim; Menorat Ha-pilpel,7261,ירושלים,ראובן מס,103,,2002,20,50,27-Jan-03,35,965-7263-00-X,,"שיפריס,חן",מדף 83,,,,,"Shifris,Hen",,FALSE,TRUE
114141,041,השקפת-עולם יהודית חדשה,פיתוח השקפת עולם יהודית מודרנית אשר מיישבת את הסתירות בין המדע ליהדות,Hashkafat-Olam Yehudit Hadasha,7261,ירושלים,ראובן מס,209,,2003,24,60,25-Mar-03,35,965-09-0163-9,,"אורבן,איוון",מדף 157,,,,,"Orban,Ivan",,FALSE,TRUE
114311,041,"משנתו של המהר""ל מפראג",,"Mishnato Shel Ha-Mahara""l Mi-Perag",7261,ירושלים,ראובן מס,218,,2003,24,60,15-Apr-03,35,965-09-161-2,,"נהר,אנדרה",,,,,,"Neher,Andre",,FALSE,TRUE
114632,030,"תולדות יהודי טרנסילבניה, 1944-1623","סיפורה של קהילה מפוארת שהיתה רצויה מאד בראששיתה במאה ה-17, והושמדה ברובה  בשואה; עם תמונות ומסמכים ומפה, ביבליוגרפיה ומפתח","Toldot Yehude Transilvania, 1623-1944",7261,ירושלים,ראובן מס,352,,2003,35,88,27-May-03,30,965-09-0162-0,,"כרמלי,משה",מדף 157,,,,,"Karmeli,Moshe",,FALSE,TRUE
114659,010,אלימות בעולם קסום (מהדורה מתוקנת),"מחקר באופייה האלים של המעשייה הנשית לילדים; פורמט מוגדל ועטיפה צבעונית, עם מפתחות",Alimut Be-olam Kasum (corrected edition),7261,ירושלים,ראובן מס,256,,2002,23,58,09-Jun-03,30,965-09-0160-4,,"שטרן,דינה",מדף 80,,,,,"Shtern,Dina",,FALSE,TRUE
115086,080,לסדר…,"פסוקים מפרשת-השבוע המתאימים לכל אירוע;  מדריך לחידוש המנהג העתיק לציין בתאריך  המסמך חלק מפסוק מפרשת אותו שבוע, המזכיר את הענין  שבמסמך; נייר כרומו, מתאים גם  למתנות",Le-seder…,7261,ירושלים,ראובן מס,328,,2003,35,88,19-Aug-03,35,965-09-0168-X,,"מלמד-כהן,רחמים",,,,,,"Melamed-Kohen,Rahamim",,FALSE,TRUE
116014,042,התמודדות עם אובדן תינוק,"הדרכה למשפחות בהיבט אישי ויהודי, עם מכתב ברכה מהרב מוטי אלון ודברי עידוד מפרופ'  שפרבר; מתורגם ומעובד מאנגלית",Hitmodedut Im Ovdan Tinok,7261,ירושלים,ראובן מס,150,,2003,20,50,01-Dec-03,35,965-09-0167-1,,"לוי,ימין",מדף 92,,,,,Levi;Yamin,,FALSE,TRUE
116211,030,חצרות קופנהגן,"גאורג כהן: במאמץ למנוע מלחמה; שבעה דורות בקופנהגן; פרקי חייו המרתקים של השר  במשרד החוץ הדני משנת 1913 עד 1956, שסייע רבות בהצלת יהודי דנמרק מן הנאצים; כולל  סקירת יהדות דנמרק, וצמונות רבות בשחור-לבן וצבע; מפתח ותקציר באנגלית",Hatserot Kopenhagen,7261,ירושלים,ראובן מס,252,,2003,29,72,19-Dec-03,35,965-09-0169-8,,"כהן רואי,אמיליה",מדף 80,,,,,"Kohen Roi,Emilia",,FALSE,TRUE
116392,086,בין הפטרה לפרשה (מהדורה שנייה מתוקנת ומורחבת),על הקשרים בין ההפטרות לפרשות השבוע ולמועדי השנה,Bein Haftara Le-parasha (2nd enlarged edition),7261,ירושלים,ראובן מס,250,"תשס""א",2003,28,75,18-Jul-12,35,965-09-0143-4,,"שביב,יהודה (הרב)",,,,,,"Shaviv,Yehuda",,FALSE,TRUE
116956,035,אתרים ושכונות בירושלים,שלל הסברים ותמונות יפהפיות על אתרים שונים ושכונות בירושלים,Atarim U-shekhunot Bi-rushalayim,7261,ירושלים,ראובן מס; מולטיפרס,160,,2004,48,120,19-Mar-04,35,,,"אקרמן,אדם",מדף 158,,,,,"Akerman,Adam",,FALSE,TRUE
117571,041,בנתיבות חכמת הקבלה,"טעמי המצוות במשנת הרעיא-מהימנא; מחקר בקבלה, בטקסט קלאסי שבזוהר, תוך עיון מעמיק ברזי המצוות וטעמיהן; הערות, טבלאות, סיכומים",Bi-netivot Hokhmat Ha-Kabala,7261,ירושלים,ראובן מס,588,,2004,35,88,25-May-04,35,965-09-0172-8,,"מלכה,ישראל - שרלי",,,,,,"Malka,Yisrael - Sharli",,FALSE,TRUE
117885,060,היסטוריה מעניינת,"ארועים ואנשים כפי שהיו וכפי שראה אותם המחבר שהיה קרוב למקבלי ההחלטות; אוטוביוגרפיה; מפתח, תמונות; כריכת הספר: בן-גוריון, בגין ונוף ירושלים העתיקה, עם דגל ישראל",Historia me'anyenet,7261,ירושלים,ראובן מס,284,,2004,24,60,13-Jul-04,35,965-09-0171-X,,"רמתי,יוחנן",מדף 86,,,,,"Ramati,Yohanan",,FALSE,TRUE
117970,080,חידת היהדות,"מדוע חייבים היהודים לסבול רדיפות, סוד הישרדותנו ונצחיות יהדותנו; מסה בעקבות השואה; תורגם מגרמנית לעברית ולאנגלית (באנגלית יצא בשם Loss and Redemption)",Hidat ha-yahadut,7261,ירושלים,ראובן מס,94,,2004,16,40,28-Jul-04,35,965-09-0173-6,,"שלזינגר,עמנואל",מדף 96,,,,,"Shlezinger,Imanuel",,FALSE,TRUE
118063,041,יש מאין,"מחשבות על המדע, ההשגחה העליונה, הבחירה החופשית, האמונה וחוויות חיי; מחקר להוכחת מציאות ה' בדרך המדע, אור נסיונו האישי של המחבר, פרופ' לכימיה באונ' ת""א, ומנהיג ציוני בברית המועצות לשעבר",Yesh me-ayin,7261,ירושלים,ראובן מס,220,,2004,24,60,04-Aug-04,35,965-09-0174-4,,"פיין,בנימין",אלמנת המחבר: shofain@gmail.com  שושנה פיין,,,,,"Fein,Binyamin",,FALSE,TRUE
119155,041,ברית הלשון,"הרפתקת הדיבור במחשבת ישראל; הלשון מבחינה יהודית, במקרא ובמחשבת היהדות; הערות, מפתח",Berit ha-lashon,7261,ירושלים,ראובן מס,272,,2004,27,68,15-Nov-04,35,965-09-0177-9,,"גרוס,בנימין",,,,,,"Gros,Biniamin",,FALSE,TRUE
121021,041,פיוטי יניי -ביאורים ופירושים: כרך משלים,"עם הצעות מנומקות לתיקונים והשלמות; מחקר המתבסס על מהדורתו של צבי מאיר רבינוביץ, ומתקן ומשלים אותו, כולל קרובות לחומשים, למועדים ולשבתות מיוחדות; נספחים, מפתחות והקדמה באנגלית; השלמות לכרך הראשון שיצא בשנת 2000",Piutei Yanay - Be'urim U-ferushim: kerekh mashlim,7261,ירושלים,ראובן מס,304,,2005,31,78,14-Jul-05,35,965-09-0185-X,,"ברונזניק,נחום מאיר",,,,,,"Bronznik,Nahum Meir",,FALSE,TRUE
121022,041,דוד גנז וזמנו (1613-1541): מהדורה שניה מחודשת ומתוקנת,מחשבת ישראל והמהפכה המדעית של המאה השש-עשרה; מלווה באיורים; עריכה מתוקנת ומחודשת; מתורגם מצרפתית בידי אביטל ענבר,"David Ganz u-zemano, 1541-1613: 2nd corrected edition",7261,ירושלים,ראובן מס,384,,2005,24,60,14-Jul-05,35,965-09-0158-2,,"נהר,אנדרה",,,,,,"Neher,Andre",,FALSE,TRUE
121440,151,"תוכנת ""מדף הספרים שלי"" - גרסה רגילה (תקליטור)","תוכנה לקטלוג ספריה פרטית, כולל דו""חות, קטלוגים, מיון, מיקום הספר, תעתיק, ועוד","Tokhnat ""Madaf ha-sefarim sheli"" - regular version (CD)",7261,ירושלים,ראובן מס,,,2005,89,299,28-Aug-05,35,,,,מדף 84,,,,,,,FALSE,TRUE
121441,151,"תוכנת ""מדף הספרים שלי"" - גרסה מורחבת (תקליטור)","תוכנה לקטלוג ספריה ציבורית, כולל מאגר מידע של כ- 17,000 כותרים שיצאו לאור בישראל משנת 1998 ואילך; מאפשר קטלוג, מיון, דו""חות, תעתיק, מיקום, ועוד","Tokhnat ""Madaf ha-sefarim sheli"" - expanded version (CD)",7261,ירושלים,ראובן מס,,,2005,399,1999,28-Aug-05,35,,,,מדף 84,,,,,,,FALSE,TRUE
122741,010,הדים מבבל,"ביטויים, אימרות והווי של יהודי בגדאד; עם הקדמה של פרופ' שמואל מורה; המקור בערבית עם תרגום לעברית, תעתיק בעברית, הסבר הביטוי ומקורות; עם מפתחות בעברית ובערבית; מעין המשך לספר ""על נהרות בבל""",Hedim mi-Bavel,7261,ירושלים,ראובן מס,486,,2006,62,156,19-Jan-06,35,965-09-0192-2,,"מאירי,יהושע",,,,,,"Meiri,Yehoshua",,FALSE,TRUE
122866,130,"סוציומטריה (ספריית דני למדע ודעת, הדפסה שלישית)",יחסים חברתיים ובדיקתם; בלויית שרטוטים רבים; מהדורת דפוס דיגיטלי בעיצוב חיצוני חדש וצבעוני,Sotsiometria (3rd printing),7261,ירושלים,ראובן מס,184,,2006,21,52,02-Feb-06,35,,,"בר-נצר,חנן",דפוס דיגיטלי,,,,,"Bar-Netser,Hanan",,FALSE,TRUE
122867,135,"ספר השחמט (ספריית דני למדע ודעת, מהדורה חמישית)","יסודות, בעיות ושיטות; בצירוף מילון למונחי השחמט בעברית, אנגלית, צרפתית, ספרדית, גרמנית ורוסית; מהדורת דפוס דיגיטלי בעיצוב חיצוני חדש וצבעוני",Sefer Ha-shahmat (5th edition),7261,ירושלים,ראובן מס,400,,2006,32,80,02-Feb-06,35,,,"צ'רניאק, משה",,,,,,"Tserniak,Moshe",,FALSE,TRUE
122868,130,"גרפולוגיה (ספריית דני למדע ודעת, הדפסה שמינית)",תורת הכתב ואופי האדם; עם עשרות דוגמאות וניתוחי אופי; מהדורת דפוס דיגיטלי בעיצוב חיצוני חדש וצבעוני,Grafologia (8th printing),7261,ירושלים,ראובן מס,190,,2006,21,52,02-Feb-06,35,,,"אלוני,אמנון",,,,,,"Aloni,Amnon",,FALSE,TRUE
123361,080,ראש לחכמים,"רבי עקיבא בפולמוס בר-כוכבא, במשנת הגאולה וקידוש השם; מונוגרפיה על רבי עקיבא; מהדורת דפוס דיגיטלי",Rosh la-hakhamim (Rabi Akiva),7261,ירושלים,ראובן מס,303,,2006,26,64,26-Mar-06,35,,,"קוליץ,חיים ע.",,,,,,"Kolits,Hayim A.",,FALSE,TRUE
123479,041,"לחפור את התנ""ך","על מקרא וארכאולוגיה; דיון ועיון במקרא מנקודת מבט ארכאולוגית, בליווי תמונות ומפות, מפתח ותקציר באנגלית; המחקר מוכיח את אמיתות הסיפור המקרא בניגוד לארכאולוגים המנסים לקעקע זאת; המחבר, ד""ר ומרצה לתנ""ך, גיאוגרפיה ולימודי ארץ-ישראל במכללת הרצוג","La-hafor et ha-Tana""kh (Digging the Bible)",7261,ירושלים,ראובן מס,292,,2006,30,74,24-Apr-06,35,965-09-0193-0,,"מייטליס,יצחק",,,,,,"Meitlis,Yitzhak",,FALSE,TRUE
123480,132,"לחפור את התנ""ך","על מקרא וארכאולוגיה; דיון ועיון במקרא מנקודת מבט ארכאולוגית, בליווי תמונות ומפות, מפתח ותקציר באנגלית; המחקר מוכיח את אמיתות הסיפור המקרא בניגוד לארכאולוגים המנסים לקעקע זאת; המחבר, ד""ר ומרצה לתנ""ך, גיאוגרפיה ולימודי ארץ-ישראל במכללת הרצוג","La-hafor et ha-Tana""kh (Digging the Bible)",7261,ירושלים,ראובן מס,292,,2006,30,74,24-Apr-06,35,965-09-0193-0,,"מייטליס,יצחק",,,,,,"Meitlis,Yitzhak",,FALSE,TRUE
123823,041,תפילה ותפילות,"שאלות יסוד בתפילה, מהותה ומשמעותה, מהי כוונת הלב, תפילות קבע, המציאות ההסטורית בה התהוו התפילות, הפיוטים כתפילות, ועוד",Tefila u-tefilot,7261,ירושלים,ראובן מס,231,,2006,27,68,07-Jun-06,35,96-09-0197-3,,"מאק,חננאל",,,,,,"Mak,Hananel",,FALSE,FALSE
123960,120,"אוצר השאלות והתשובות, כרך שביעי (מהדורה מתוקנת ומורחבת)","מפתח ענייני כולל לספרי השו""ת, מחתימת התלמוד ועד זמננו; שולחן ערוך - אורח חיים, סימנים תנא - תצד; מהדורה שנייה מתוקנת ומורחבת, בתוספת פירוט עניינים בסימנים הארוכים; הכל מסודר מחדש","Otsar ha-sheelot ve-ha-teshuvot, vol. 7 (enlarged edition)",7261,ירושלים,"ראובן מס (הפצה); מכון מהרש""ל",200,,2006,48,120,16-Jun-06,35,,,"שפירא,מנחם נחום כהנא (עורך) זצ""ל","מכון מהרש""ל, שלמה, 052-3803457, טלפקס 02-6512228; לנו:במבצע: א,ב,ג: 17 נטו; ז: 32; ד,ו,ח,ט: חינם",,,,,"Shapira, Menahem Nahum Kahana",,FALSE,FALSE
