Serial,id,title,description,tatik,supplier code,publication locatio ,name of publication,number of pages,year of hebrew public,year of publication,price in $,price in NIS,date of price update,discount,mastav,status,name of author,misc,name at eng,price nis no vat,code publisher,code of publishing,outhor name ,,,מחיר קבוע
100022,5,בצלם איש,הדפסה על נייר צהוב מיוחד,Betselem Ish,7506,"ת""א",סער,31,,1998,10,29,1998-03-24 0:00:00,30,,,"בר-דוד,מור",,,,,,"Bar-David,Mor",,FALSE,FALSE
100023,81,ההגדה המדוייקת איש מצליח,"כולל הלכות נחוצות, מ""ב מסעות,קטעי זוהר,פירוש קצר, תמונות צבעוניות; מהד' שניה",Hahagadah Hamedu'yeket - Ish Matsli'ah,7910,בני-ברק,מכון הרב מצליח,240,,1998,15,,1998-03-24 0:00:00,,,,,ישיבת כסא רחמים 03-6767163;מר מצליח עסיס:050-304426,,20,,,,,FALSE,FALSE
100024,60,התורה המשמחת,"מסכת חייו המופלאה של הרב ר' שלמה זלמן אוירבך זצ""ל;מונות ואיורים;נייר כרומו",Hatora Hamesamahat,7910,בית אל,ספריית בית-אל,384,,1998,30,,1998-03-24 0:00:00,,,,"אליהו,יוסף ורות","המחבר 9973020, המו""ל:02-9973073",,40,,,"Eliahu,Yosef&Rut",,FALSE,FALSE
100025,86,ספר ליקוטי גבריאל,לפיתוח ההבנה בפרשיות השבוע; שאלות ותשובות,Sefer Likute Gavriel,7910,בני-ברק,המחבר,232,,1998,26,,1998-03-24 0:00:00,,,,"גבאי,גבריאל","רח' דון יוסף נשיא 4, ב""ב",,35,,,"Gabai,G.",,FALSE,FALSE
100026,86,"ליקוטי יוסף-מדי שבת בשבתו, סדרה שלישית","מדרשים,מאמרים,שאלות,חידונים ותשבצים בפרשת השבוע","Likute Yosef-Mide Shabat Beshabato,3",7910,ירושלים,המחבר,254,,1997,26,,1998-03-24 0:00:00,,,,"ענתבי,יוסף","פישל 17,י-ם,02-5825788",,34,,,"Antabi,Yosef",,FALSE,FALSE
100027,97,שלשה ספרים נפתחים:סור מרע;בית ישראל;פרי קודש הלולים,"הקדמה ודרך לעץ החיים (הנקרא ""סור מרע ועשה טוב"");דרושים על דרך הקבלה",Shlosha Sefarim Niftahim:Sur Mera...,7910,בית שמש,,464,,1998,30,,1998-03-24 0:00:00,,,,רבי צבי הירש מזידיטשוב,"ת""ד 7376, בית שמש",,35,,,Rw Zvi H.MiZiditsov,,FALSE,FALSE
100028,81,הגדה של פסח,עם ביאורים ואיורים;תבנית אלבומית; מהדורה חמישית משופרת ומורחבת,Hagadah Shel Pesah,7102,ירושלים,כרטא,111,,1998,52,,1998-03-24 0:00:00,0,965-220-402-1,,הרב עדין אבן-ישראל - שטיינזלץ,התקבל מקרליבך,,82,,,"Steinzalts,Adin R'",,FALSE,FALSE
100029,5,כל השירים,מהדורה חדשה ומרכזת של כל שיריו,Kol Hashirim,7902,"ת""א",הקיבוץ המאוחד,304,,1998,27,70,1998-03-24 0:00:00,30,,,דוד פוגל (עורך: אהרן קומם),,,,,,David Fogel,,FALSE,FALSE
100030,120,מצה מצה,"101 מתכונים כשרים לפסח, הכל ממצה; בליווי תמונות מעוררי תיאבון",Matsa Matsa,7902,"ת""א",תמר,156,,1998,24,,1998-03-24 0:00:00,30,,,"קדושים,ג'ני;ביוואנס,דבי",,,65,,,Kedoshim&Bivanes,,FALSE,FALSE
100031,151,"קופסה שחורה, 2 קלטות-שמע","חליפת מכתבים מכאיבה ומרגשת, עתה על קלטות; מספר: שלמה סדן","kufsa Shehora,2 cassettes",7502,"ת""א",ספרים מדברים,,,1998,26,59,1998-03-24 0:00:00,0,,,"עוז,עמוס",,,,,,"Oz,Amos",,FALSE,FALSE
100032,1,גם שוטרים בוכים,"סיפורי משטרה,קיבוץ וילדות",Gam Shoterim Bokhim (Policemen Cry Too),7502,"ת""א",דניאלה די-נור,159,,1998,14,35,1998-03-24 0:00:00,25,965-378-054-9,,"סלע,צביקה",,,,,,"Sela,Tsvika",,FALSE,FALSE
100033,1,אישונים מדברים,סיפור על זהות עצמית אמיתית,Ishonim Medabrim - Talking Pupils,7502,אור יהודה,הד ארצי,176,,1998,15,49,1998-03-24 0:00:00,30,,,"רן,תהל;גסר-אדלסבורג,ענת",,,,,,"Ran,T.&Geser,A.",,FALSE,FALSE
100034,35,ישראל-50 השנים,"סקירה היסטורית של המדינה מבחינת צבא ומדיניות, כלכלה,פוליטיקה ועוד; מפתח מפורט וביבליוגרפיה נרחבת",Israel-50 Hashanim,7502,"ת""א",עם עובד,617,,1998,27,79,1998-03-24 0:00:00,30,965-13-1236-X,,"שחם,דוד",,,,,,"Shaham,David",,FALSE,FALSE
100035,50,תוכניות המגירה למלחמת העולם השלישית,"זירת המזרח התיכון, 1954-1945; הספר יצא גם באנגלית בהוצאת FRANK CASS;הערות ומפתח",Tokhniot Hamegera Lemilhemet Haolam Ha-3,7502,"ת""א",משרד הבטחון,388,,1998,20,65,1998-03-24 0:00:00,30,965-05-0904-6,,"כהן,מיכאל י'",,,,,,"Kohen,M.Y.",,FALSE,FALSE
100036,96,את פתח לו,"פתיחה בזוהר ובקבלה לגילוי צפונות,אישיות,תכונות,בריאות,זיווג,פרנסה וכו'",At Petah Lo,7502,,פאר הקודש-מויאל,114,,1998,18,56,1998-03-24 0:00:00,30,,,"עמוס,אברהם","פאר הקודש-מויאל: טל' 07-6724594, פקס 07-6751465",,,,,"Amos,Avraham",,FALSE,FALSE
100037,35,המאבק לעצמאות של האדריכלות הישראלית במאה ה-20,"תולדות האדריכלות בישראל, בליווי מאות תמונות ואיורים, כולל בצבע",Hamaavak Le'atsmaut Shel Ha'adrikhalut HaIsraelit,7502,"ת""א",משרד הבטחון,280,,1998,54,138,1998-03-24 0:00:00,30,965-05-0916-X,,"אלחנני,אבא",,,,,,"Elhanani,Aba",,FALSE,FALSE
100038,47,ראש המטה הכללי,"אוטוביוגרפיה צבאית של רמטכ""ל; מבצעי אנטבה,ליטני,ביקור סאדאת,לחימה במחבלים ועוד",Rosh Hamate Hekelali,7502,"ת""א",משרד הבטחון,488,,1998,27,78,1998-03-24 0:00:00,30,965-05-0917-8,,"גור,מוטה",,,,,,"Gur,Mota",,FALSE,FALSE
100039,47,מצפון ומים,"אוטוביוגרפיה של מפקד פיקוד הצפון, ונספח צה""ל בארה""ב; צבא ומדיניות",Mitsafon Umiyam (From North&West),7502,"ת""א",משרד הבטחון,272,,1998,35,78,1998-03-24 0:00:00,30,965-05-0905-4,,"גור,מוטה",,,,,,"Gur,Mota",,FALSE,FALSE
100040,5,סודך הכמוס,שירים; איורים:אפרת פלג,Sodekh hakamus,6110,"ת""א",ירון גולן,87,,1998,10,32,1998-03-25 0:00:00,30,,,"אלעזר,נתן (נתקו)",,,,,,"Elazar,N.",,FALSE,FALSE
100041,5,פעם... כשהייתי גדולה,ספושירים; שירים אותנטיים על חוויות ילדים ומנקודת מבטה של אם,Paam... Keshehayiti Gedola,6110,"ת""א",ירון גולן,117,,1998,12,38,1998-03-25 0:00:00,30,,,"ארבלי-רווה,שושנה",,,,,,"Arbeli-Rave,S.",,FALSE,FALSE
100042,5,נגני לי עט,,Nagni Li Et,6110,"ת""א",ירון גולן,40,,1998,8,25,1998-03-25 0:00:00,30,,,"ארנון,אלעד",,,,,,"Arnon,Elad",,FALSE,FALSE
100043,5,שפת אב,,Sefat Av,6110,"ת""א",ירון גולן,86,,1998,10,30,1998-03-25 0:00:00,30,,,"בר,אריה",,,,,,"Bar,Arie",,FALSE,FALSE
100044,32,צבי והפצוע הגרמני,בסערת הכוחות והמלחמה; סיפור אוטוביוגראפי של נער בן 18 בשנות השואה ברוסיה,Zevi Ve'hapatsua Hagermani (The Wounded German),6110,"ת""א",המחבר,160,,1998,13,40,1998-03-25 0:00:00,30,,,"שכטר,הנריק צבי","המחבר: ת""ד 25258,ת""א,03-5713138",,,,,"Shekhter,H.Z.",,FALSE,FALSE
100045,32,ילד תרנגול,"סיפורים אוטוביוגראפיים של נער יהודי בשואה, תוך הסתכלות של המחבר היום על מצבו אז",Yeled Tarnegol (L'enfant Coq),6110,"ת""א",עקד,144,,1998,17,42,1998-03-25 0:00:00,30,,,"רוט,משה (מוריס)","""עקד"" , רח' מרים החשמונאית 25, ת""א",,,,,"Rot,Moshe",,FALSE,FALSE
100046,5,קל וחומר,,Kal Vahomer,6110,"ת""א",ירון גולן,47,,1998,8,25,1998-03-25 0:00:00,30,,,"שפירא,יהודה",,,,,,"Shapira,Y.",,FALSE,FALSE
100047,5,אורות רחוקים,"שירים בתבנית אלבומית, עם ציורי צבע מול כל שיר, נייר כרומו",Orot Rehokim,6110,,המחבר,89,,1998,18,58,1998-03-25 0:00:00,30,,,"הרצוג,ב.",,,,,,"Hertsog,B.",,FALSE,FALSE
100048,35,One Day and 90 Years,The Story of the Jewish National Fund; pictures,One Day and 90 Years,7920,Jerusalem,,116,,1991,25,,1998-03-26 0:00:00,,,,,,,,,,"Shva,Shlomo",,FALSE,FALSE
100049,10,מפגשים בתרבות הערבית-היהודית של ימי הביניים (תעודה יד),דברי הוועידה הרביעית של החברה לחקר התרבות הערבית-היהודית של ימי הביניים,Mifgashim Betarbut Ha-aravit-Heyehudit...(Te'uda #14),6305,"ת""א","אונ' ת""א",252,,1998,30,58.5,1998-03-27 0:00:00,20,,,"בלאו,יהושע ואחרים (עורכים)",,,,,,"Blau,Y.&Others (ed.)",,FALSE,FALSE
