post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:ekit_post_views_count,meta:rank_math_analytic_object_id,meta:rank_math_internal_links_processed,meta:rank_math_primary_product_cat,meta:rank_math_seo_score,meta:shopengine_product_views_count,meta:total_sales,attribute:author,attribute_data:author,attribute_default:author,attribute:isbn,attribute_data:isbn,attribute_default:isbn,attribute:nameofpublisher,attribute_data:nameofpublisher,attribute_default:nameofpublisher,attribute:numofpages,attribute_data:numofpages,attribute_default:numofpages,attribute:placeofpublisher,attribute_data:placeofpublisher,attribute_default:placeofpublisher,attribute:yearofpublish,attribute_data:yearofpublish,attribute_default:yearofpublish,attribute:yearofpublishheb,attribute_data:yearofpublishheb,attribute_default:yearofpublishheb
"הצעד הראשון / רדאי",הצעד-הראשון-רדאי,,73198,,,publish,,0,"2022-12-25 19:23:30",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73198.png ! alt :  ! title : 73198.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%94%d7%a6%d7%a2%d7%93-%d7%94%d7%a8%d7%90%d7%a9%d7%95%d7%9f-%d7%a8%d7%93%d7%90%d7%99/,simple,,,,,13,,1,,,13,0,,,,,,,,,,,,,,,,,,,,,
"ובכל זאת / נהר",ובכל-זאת-נהר,,73225,,,publish,,0,"2022-12-25 19:23:31",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73225.png ! alt :  ! title : 73225.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%95%d7%91%d7%9b%d7%9c-%d7%96%d7%90%d7%aa-%d7%a0%d7%94%d7%a8/,simple,,,,,9,,1,,,9,0,,,,,,,,,,,,,,,,,,,,,
"זעקת יהודי דמשק / שטיינהורן,אסתר",זעקת-יהודי-דמשק-שטיינהורןאסתר,,73234,"תיאורים מחיי קהילת יהודי דמשק בזנות הקמת המדינה",,publish,,0,"2022-12-25 19:23:32",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73234.png ! alt :  ! title : 73234.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%96%d7%a2%d7%a7%d7%aa-%d7%99%d7%94%d7%95%d7%93%d7%99-%d7%93%d7%9e%d7%a9%d7%a7-%d7%a9%d7%98%d7%99%d7%99%d7%a0%d7%94%d7%95%d7%a8%d7%9f%d7%90%d7%a1%d7%aa%d7%a8/,simple,,,,,16,,1,,,16,0,,,,,,,,,,,,,,,,,,,,,
"יום הולדת / קמזון",יום-הולדת-קמזון,,73264,,,publish,,0,"2022-12-25 19:23:33",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73264.png ! alt :  ! title : 73264.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%99%d7%95%d7%9d-%d7%94%d7%95%d7%9c%d7%93%d7%aa-%d7%a7%d7%9e%d7%96%d7%95%d7%9f/,simple,,,,,6,,1,,,6,0,,,,,,,,,,,,,,,,,,,,,
"כתבים נבחרים / ניסנבוים",כתבים-נבחרים-ניסנבוים,,73306,,,publish,,0,"2022-12-25 19:23:17",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73306.png ! alt :  ! title : 73306.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%9b%d7%aa%d7%91%d7%99%d7%9d-%d7%a0%d7%91%d7%97%d7%a8%d7%99%d7%9d-%d7%a0%d7%99%d7%a1%d7%a0%d7%91%d7%95%d7%99%d7%9d/,simple,,,,,11,,1,,,11,0,,,,,,,,,,,,,,,,,,,,,
"לרוח היום / יונתן",לרוח-היום-יונתן,,73319,,,publish,,0,"2022-12-25 19:23:18",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73319.png ! alt :  ! title : 73319.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%9c%d7%a8%d7%95%d7%97-%d7%94%d7%99%d7%95%d7%9d-%d7%99%d7%95%d7%a0%d7%aa%d7%9f/,simple,,,,,9,,1,,,9,0,,,,,,,,,,,,,,,,,,,,,
"מלון עברי-רוסי,רוסי-עברי,עם טרנסקריפציה / אמיר",מלון-עברי-רוסירוסי-עבריעם-טרנסקריפצי,,73391,,,publish,,0,"2022-12-25 19:23:19",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73391.png ! alt :  ! title : 73391.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%9e%d7%9c%d7%95%d7%9f-%d7%a2%d7%91%d7%a8%d7%99-%d7%a8%d7%95%d7%a1%d7%99%d7%a8%d7%95%d7%a1%d7%99-%d7%a2%d7%91%d7%a8%d7%99%d7%a2%d7%9d-%d7%98%d7%a8%d7%a0%d7%a1%d7%a7%d7%a8%d7%99%d7%a4%d7%a6%d7%99/,simple,,,,,6,,1,,,6,0,,,,,,,,,,,,,,,,,,,,,
"מנוחה נכונה / ביברפלד",מנוחה-נכונה-ביברפלד,,73399,"על ל""ט מלאכות שבת",,publish,,0,"2022-12-25 19:23:20",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73399.png ! alt :  ! title : 73399.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%9e%d7%a0%d7%95%d7%97%d7%94-%d7%a0%d7%9b%d7%95%d7%a0%d7%94-%d7%91%d7%99%d7%91%d7%a8%d7%a4%d7%9c%d7%93/,simple,,,,,8,,1,,,8,0,,,,,,,,,,,,,,,,,,,,,
"מסות ומחקרים / ריינס",מסות-ומחקרים-ריינס,,73418,,,publish,,0,"2022-12-25 19:23:20",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73418.png ! alt :  ! title : 73418.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%9e%d7%a1%d7%95%d7%aa-%d7%95%d7%9e%d7%97%d7%a7%d7%a8%d7%99%d7%9d-%d7%a8%d7%99%d7%99%d7%a0%d7%a1/,simple,,,,,5,,1,,,5,0,,,,,,,,,,,,,,,,,,,,,
"על ירושלים / ראובני,א.",על-ירושלים-ראובניא,,73525,"רומן מימי מלחמת העולם הראשונה",,publish,,0,"2022-12-25 19:23:21",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73525.png ! alt :  ! title : 73525.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%a2%d7%9c-%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d-%d7%a8%d7%90%d7%95%d7%91%d7%a0%d7%99%d7%90/,simple,,,,,8,,1,,,8,0,,,,,,,,,,,,,,,,,,,,,
"עם הגירוש / דביר,דבורה",עם-הגירוש-דבירדבורה,,73531,,,publish,,0,"2022-12-25 19:23:23",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73531.png ! alt :  ! title : 73531.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%a2%d7%9d-%d7%94%d7%92%d7%99%d7%a8%d7%95%d7%a9-%d7%93%d7%91%d7%99%d7%a8%d7%93%d7%91%d7%95%d7%a8%d7%94/,simple,,,,,8,,1,,,8,0,,,,,,,,,,,,,,,,,,,,,
"עשרה כושים קטנים / גרבר",עשרה-כושים-קטנים-גרבר,,73536,,,publish,,0,"2022-12-25 19:23:25",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73536.png ! alt :  ! title : 73536.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%a2%d7%a9%d7%a8%d7%94-%d7%9b%d7%95%d7%a9%d7%99%d7%9d-%d7%a7%d7%98%d7%a0%d7%99%d7%9d-%d7%92%d7%a8%d7%91%d7%a8/,simple,,,,,7,,1,,,7,0,,,,,,,,,,,,,,,,,,,,,
"פועל בארץ / כרמון",פועל-בארץ-כרמון,,73548,,,publish,,0,"2022-12-25 19:23:10",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73548.png ! alt :  ! title : 73548.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%a4%d7%95%d7%a2%d7%9c-%d7%91%d7%90%d7%a8%d7%a5-%d7%9b%d7%a8%d7%9e%d7%95%d7%9f/,simple,,,,,11,,1,,,11,0,,,,,,,,,,,,,,,,,,,,,
"קרן אור בחשכה / הלפקרין,ברונקה",קרן-אור-בחשכה-הלפקריןברונקה,,73580,,,publish,,0,"2022-12-25 19:23:11",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73580.png ! alt :  ! title : 73580.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%a7%d7%a8%d7%9f-%d7%90%d7%95%d7%a8-%d7%91%d7%97%d7%a9%d7%9b%d7%94-%d7%94%d7%9c%d7%a4%d7%a7%d7%a8%d7%99%d7%9f%d7%91%d7%a8%d7%95%d7%a0%d7%a7%d7%94/,simple,,,,,11,,1,,,11,0,,,,,,,,,,,,,,,,,,,,,
"רש""י / ספיבק",רשי-ספיבק,,73607,,,publish,,0,"2022-12-25 19:23:12",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/73607.png ! alt :  ! title : 73607.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%a8%d7%a9%d7%99-%d7%a1%d7%a4%d7%99%d7%91%d7%a7/,simple,,,,,10,,1,,,10,0,,,,,,,,,,,,,,,,,,,,,
"אפרים לוצטו,חייו ויצירתו / מירסקי,דוד",אפרים-לוצטוחייו-ויצירתו-מירסקידוד,,78353,"מחקר עם צילום ספר שיריו ""אלה בני הנעורים"",מהדורת לונדון 1768 (תרגום",,publish,,0,"2022-12-25 19:23:13",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/78353.png ! alt :  ! title : 78353.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%90%d7%a4%d7%a8%d7%99%d7%9d-%d7%9c%d7%95%d7%a6%d7%98%d7%95%d7%97%d7%99%d7%99%d7%95-%d7%95%d7%99%d7%a6%d7%99%d7%a8%d7%aa%d7%95-%d7%9e%d7%99%d7%a8%d7%a1%d7%a7%d7%99%d7%93%d7%95%d7%93/,simple,,,,,9,,1,,,9,0,,,,,,,,,,,,,,,,,,,,,
"זהותנו היהודית / נהר,אנדרה",זהותנו-היהודית-נהראנדרה,,82013,"ניתוח הבעיה היהודית,מעין מדריך להשקפה יהודית-ציונית משמעותית;תרגום מצרפתית",,publish,,0,"2022-12-25 19:23:14",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/82013.png ! alt :  ! title : 82013.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%96%d7%94%d7%95%d7%aa%d7%a0%d7%95-%d7%94%d7%99%d7%94%d7%95%d7%93%d7%99%d7%aa-%d7%a0%d7%94%d7%a8%d7%90%d7%a0%d7%93%d7%a8%d7%94/,simple,,,,,11,,1,,,11,0,,,,,,,,,,,,,,,,,,,,,
"תולדות האדריכלות / הר-טל,זאב",תולדות-האדריכלות-הר-טלזאב,,85505,"מימי קדם עד ימינו, עם ביבליוגרפיה, מפתח ו- 106 תמונות ותרשימים",,publish,,0,"2022-12-25 19:23:14",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/85505.png ! alt :  ! title : 85505.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%aa%d7%95%d7%9c%d7%93%d7%95%d7%aa-%d7%94%d7%90%d7%93%d7%a8%d7%99%d7%9b%d7%9c%d7%95%d7%aa-%d7%94%d7%a8-%d7%98%d7%9c%d7%96%d7%90%d7%91/,simple,,,,,14,,1,,,14,0,,,,,,,,,,,,,,,,,,,,,
"יהי אור / גרוס,בנימין",יהי-אור-גרוסבנימין,,88042,"על נר מצווה למהר""ל מפראג;עם מבוא,פירוש והערות על חג החנוכה והיחס בין ישראל לעמים",,publish,,0,"2022-12-25 19:23:15",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/88042.png ! alt :  ! title : 88042.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%99%d7%94%d7%99-%d7%90%d7%95%d7%a8-%d7%92%d7%a8%d7%95%d7%a1%d7%91%d7%a0%d7%99%d7%9e%d7%99%d7%9f/,simple,,,,,8,,1,,,8,0,,,,,,,,,,,,,,,,,,,,,
"למד הא: מהדורה שלישית מורחבת / פינקרפלד,אנדה",למד-הא-מהדורה-שלישית-מורחבת-פינקרפלד,,99189,"מחקרים עדכניים על פרשת הל""ה, אשר נפלו בהרי חברון בחושם לעזרת גוש עציון בה' בשבט תש""ח",,publish,,0,"2022-12-25 19:27:34",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/99189.jpg ! alt :  ! title : 99189.jpg ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%9c%d7%9e%d7%93-%d7%94%d7%90-%d7%9e%d7%94%d7%93%d7%95%d7%a8%d7%94-%d7%a9%d7%9c%d7%99%d7%a9%d7%99%d7%aa-%d7%9e%d7%95%d7%a8%d7%97%d7%91%d7%aa-%d7%a4%d7%99%d7%a0%d7%a7%d7%a8%d7%a4%d7%9c%d7%93/,simple,,"ספרים חדשים",,,43,1430,1,234,13,43,0,,,,,,,,,,,,,,,,,,,,,
"השובל הארוך / לוין,דניה",השובל-הארוך-לויןדניה,,101170,"אוטוביוגרפיה של חלוצה,רקדנית ובמאית; כולל פרקים על הגנת ירושלים בתש""ח",,publish,,0,"2022-12-25 19:23:16",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/101170.png ! alt :  ! title : 101170.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%94%d7%a9%d7%95%d7%91%d7%9c-%d7%94%d7%90%d7%a8%d7%95%d7%9a-%d7%9c%d7%95%d7%99%d7%9f%d7%93%d7%a0%d7%99%d7%94/,simple,,,,,7,,1,,,7,0,,,,,,,,,,,,,,,,,,,,,
"ביאליק בחבלי אבן גבירול / כ""ץ,שרה",ביאליק-בחבלי-אבן-גבירול-כץשרה,,102561,"מחקר אודות השפעת רבי שלמה אבן גבירול על שירתו ואישיותו של ח.נ. ביאליק,כולל מילון פיוטי משותף לשני המשוררים",,publish,,0,"2022-12-25 19:23:02",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/102561.png ! alt :  ! title : 102561.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%91%d7%99%d7%90%d7%9c%d7%99%d7%a7-%d7%91%d7%97%d7%91%d7%9c%d7%99-%d7%90%d7%91%d7%9f-%d7%92%d7%91%d7%99%d7%a8%d7%95%d7%9c-%d7%9b%d7%a5%d7%a9%d7%a8%d7%94/,simple,,,,,8,,1,,,8,0,,,,,,,,,,,,,,,,,,,,,
"קו וגוונים / בלאט,אברהם",קו-וגוונים-בלאטאברהם,,102835,"פרקי עיון ומסות בספרות העברית והיידית, עיונים באסתטיקה לאור המסורת, הבעש""ט, שירת רחל, השואה",,publish,,0,"2022-12-25 19:23:03",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/102835.png ! alt :  ! title : 102835.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%a7%d7%95-%d7%95%d7%92%d7%95%d7%95%d7%a0%d7%99%d7%9d-%d7%91%d7%9c%d7%90%d7%98%d7%90%d7%91%d7%a8%d7%94%d7%9d/,simple,,,,,11,,1,,,11,0,,,,,,,,,,,,,,,,,,,,,
"שירי מלמד / מלמד (לרנר),ישראל (הרב)",שירי-מלמד-מלמד-לרנרישראל-הרב,,106345,"שירים ברוח יהודית, בנושאי השירה העברית, ארץ-ישראל, מדינת ישראל, השואה ועוד",,publish,,0,"2022-12-25 19:23:04",1,open,,,,no,no,null,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://sefertov.co.il/wp-content/uploads/2022/12/106345.png ! alt :  ! title : 106345.png ! desc :  ! caption : ",,https://sefertov.co.il/product/%d7%a9%d7%99%d7%a8%d7%99-%d7%9e%d7%9c%d7%9e%d7%93-%d7%9e%d7%9c%d7%9e%d7%93-%d7%9c%d7%a8%d7%a0%d7%a8%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%94%d7%a8%d7%91/,simple,,,,,8,,1,,,8,0,,,,,,,,,,,,,,,,,,,,,
